,title,link
0,When can I expect a decision from the Editor?,https://service.elsevier.com/app/answers/detail/a_id/5992/supporthub/publishing/
1,What does the status of my submission mean in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/12237/supporthub/publishing/
2,How do I clear only specific cookies?,https://service.elsevier.com/app/answers/detail/a_id/20720/supporthub/publishing/
3,What can I do if I'm having trouble signing in to EVISE?,https://service.elsevier.com/app/answers/detail/a_id/13716/supporthub/publishing/
4,"Editor Quick Guides to Editorial Manager, EES and EVISE",https://service.elsevier.com/app/answers/detail/a_id/22439/supporthub/publishing/
5,Editor Quick Guide to Editorial Manager,https://service.elsevier.com/app/answers/detail/a_id/28527/supporthub/publishing/
6,How can I submit my review in EES?,https://service.elsevier.com/app/answers/detail/a_id/5958/supporthub/publishing/
7,How do I submit a review and send my comments in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/4335/supporthub/publishing/
8,Publishing Journey videos: How do I complete the Rights and Access form?,https://service.elsevier.com/app/answers/detail/a_id/29789/supporthub/publishing/
9,The Elsevier account,https://service.elsevier.com/app/answers/detail/a_id/7436/supporthub/publishing/
10,"What are Conflict of Interest Statements, Funding Source Declarations, Author Agreements/Declarations and Permission Notes?",https://service.elsevier.com/app/answers/detail/a_id/286/supporthub/publishing/
11,What does the status of my submission mean in Editorial Manager or EES?,https://service.elsevier.com/app/answers/detail/a_id/5971/supporthub/publishing/
12,What can I do if I'm having trouble signing in to Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28452/supporthub/publishing/
13,When and how will I receive the proofs of my article?,https://service.elsevier.com/app/answers/detail/a_id/6007/supporthub/publishing/
14,How can I approve my submission?,https://service.elsevier.com/app/answers/detail/a_id/5959/supporthub/publishing/
15,How do I find and access my submission system?,https://service.elsevier.com/app/answers/detail/a_id/8000/supporthub/publishing/
16,How can I propose or oppose a reviewer in EES?,https://service.elsevier.com/app/answers/detail/a_id/8238/supporthub/publishing/
17,What should I do if my file upload fails?,https://service.elsevier.com/app/answers/detail/a_id/6026/supporthub/publishing/
18,How do I sign in to Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28947/supporthub/publishing/
19,Why am I being told my browser is out of date?,https://service.elsevier.com/app/answers/detail/a_id/14504/supporthub/publishing/
20,How can I track my accepted article?,https://service.elsevier.com/app/answers/detail/a_id/13535/supporthub/publishing/
21,What is Editorial Manager Co-Author verification?,https://service.elsevier.com/app/answers/detail/a_id/28460/supporthub/publishing/
22,What can I do if I'm having trouble signing in to EES?,https://service.elsevier.com/app/answers/detail/a_id/26714/supporthub/publishing/
23,How do I get 30 days free access to Scopus and ScienceDirect in EVISE as a reviewer?,https://service.elsevier.com/app/answers/detail/a_id/11519/supporthub/publishing/
24,How do I sign in to EVISE?,https://service.elsevier.com/app/answers/detail/a_id/4340/supporthub/publishing/
25,Are reviews confidential?,https://service.elsevier.com/app/answers/detail/a_id/14156/supporthub/publishing/
26,How do I consolidate multiple EES accounts?,https://service.elsevier.com/app/answers/detail/a_id/6073/supporthub/publishing/
27,How can I revise my submission in EES?,https://service.elsevier.com/app/answers/detail/a_id/5960/supporthub/publishing/
28,"What is the difference between an EES unconsolidated account, a consolidated profile and an Elsevier account?",https://service.elsevier.com/app/answers/detail/a_id/12102/supporthub/publishing/
29,What are the EES and EVISE Retention Policies?,https://service.elsevier.com/app/answers/detail/a_id/9134/supporthub/publishing/
30,How do I remove reference manager field codes?,https://service.elsevier.com/app/answers/detail/a_id/26093/supporthub/publishing/
31,How do I submit a Response to Technical Check?,https://service.elsevier.com/app/answers/detail/a_id/258/supporthub/publishing/
32,"How can I reset a forgotten password for the editorial submission systems Editorial Manager, EES, or EVISE?",https://service.elsevier.com/app/answers/detail/a_id/5968/supporthub/publishing/
33,What is ORCID?,https://service.elsevier.com/app/answers/detail/a_id/8408/supporthub/publishing/
34,How do I revise my submission in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28463/supporthub/publishing/
35,What should I do if my organization (i.e. affiliation or funder) is not found when I am requested to add this information when completing the Rights and Access form or during submission of my article?,https://service.elsevier.com/app/answers/detail/a_id/28469/supporthub/publishing/
36,"Which browsers work best with the submission systems Editorial Manager, EES, and EVISE?",https://service.elsevier.com/app/answers/detail/a_id/4395/supporthub/publishing/
37,What is the EVISE co-author service?,https://service.elsevier.com/app/answers/detail/a_id/14652/supporthub/publishing/
38,When will my article be published?,https://service.elsevier.com/app/answers/detail/a_id/5981/supporthub/publishing/
39,How can I submit my manuscript to EES?,https://service.elsevier.com/app/answers/detail/a_id/8366/supporthub/publishing/
40,How can I track the status of my submitted article in an editorial system?,https://service.elsevier.com/app/answers/detail/a_id/29155/supporthub/publishing/
41,What can I do if I have Elsevier Profiles registered to different email addresses?,https://service.elsevier.com/app/answers/detail/a_id/24234/supporthub/publishing/
42,How do I ensure that emails aren't blocked by spam filters?,https://service.elsevier.com/app/answers/detail/a_id/6986/supporthub/publishing/
43,How can I submit my review in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28465/supporthub/publishing/
44,How do I respond to an invitation to review in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28524/supporthub/publishing/
45,What file formats are supported by EVISE?,https://service.elsevier.com/app/answers/detail/a_id/10402/supporthub/publishing/
46,What should be included in a cover letter?,https://service.elsevier.com/app/answers/detail/a_id/155/supporthub/publishing/
47,How do I create an EVISE account?,https://service.elsevier.com/app/answers/detail/a_id/4342/supporthub/publishing/
48,How do I find reviewers in my submission system?,https://service.elsevier.com/app/answers/detail/a_id/5989/supporthub/publishing/
49,Which journal should I publish in?,https://service.elsevier.com/app/answers/detail/a_id/6029/supporthub/publishing/
50,How do I submit a manuscript in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28461/supporthub/publishing/
51,How do I add my Elsevier account to my EES account?,https://service.elsevier.com/app/answers/detail/a_id/7159/supporthub/publishing/
52,How to contact us on Journal Article Publishing,https://service.elsevier.com/app/answers/detail/a_id/10821/supporthub/publishing/
53,Can I make a correction to my typeset article after I have returned my proofs?,https://service.elsevier.com/app/answers/detail/a_id/6011/supporthub/publishing/
54,Editor Training,https://service.elsevier.com/app/answers/detail/a_id/7847/supporthub/publishing/
55,What is my Elsevier Reviews Profile on the Reviewer Recognition Platform?,https://service.elsevier.com/app/answers/detail/a_id/28311/supporthub/publishing/
56,How can I pay for my Elsevier invoice?,https://service.elsevier.com/app/answers/detail/a_id/14801/supporthub/publishing/
57,How can I submit my corrections?,https://service.elsevier.com/app/answers/detail/a_id/5967/supporthub/publishing/
58,How do I change my personal information in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28457/supporthub/publishing/
59,What is the difference between an Editorial Manager account and an Elsevier account?,https://service.elsevier.com/app/answers/detail/a_id/28946/supporthub/publishing/
60,What are the requirements for my supplementary material?,https://service.elsevier.com/app/answers/detail/a_id/6497/supporthub/publishing/
61,How do I respond to an invitation to review in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/4336/supporthub/publishing/
62,Error messages in EVISE,https://service.elsevier.com/app/answers/detail/a_id/23080/supporthub/publishing/
63,Where can I find the proofs of my article?,https://service.elsevier.com/app/answers/detail/a_id/6008/supporthub/publishing/
64,Could you extend the due date of my revision?,https://service.elsevier.com/app/answers/detail/a_id/5991/supporthub/publishing/
65,How can I retrieve my existing password from my browser?,https://service.elsevier.com/app/answers/detail/a_id/26152/supporthub/publishing/
66,Is there a template available for my manuscript file?,https://service.elsevier.com/app/answers/detail/a_id/5955/supporthub/publishing/
67,How do I find the manuscript I submitted to an Elsevier journal?,https://service.elsevier.com/app/answers/detail/a_id/27771/supporthub/publishing/
68,What happens after my manuscript is accepted?,https://service.elsevier.com/app/answers/detail/a_id/5996/supporthub/publishing/
69,What does it cost to publish gold open access?,https://service.elsevier.com/app/answers/detail/a_id/5972/supporthub/publishing/
70,Reviewer Recommender in Editorial Manager,https://service.elsevier.com/app/answers/detail/a_id/29385/supporthub/publishing/
71,What to do if my equations aren’t displaying correctly in EES?,https://service.elsevier.com/app/answers/detail/a_id/9635/supporthub/publishing/
72,How do I know which submission system I am using?,https://service.elsevier.com/app/answers/detail/a_id/8371/supporthub/publishing/
73,What should I do if EES doesn’t build a correct PDF?,https://service.elsevier.com/app/answers/detail/a_id/6027/supporthub/publishing/
74,Editor Quick Guide to EES,https://service.elsevier.com/app/answers/detail/a_id/22437/supporthub/publishing/
75,How do I enable pop-ups on my web browser?,https://service.elsevier.com/app/answers/detail/a_id/8582/supporthub/publishing/
76,How can I submit my manuscript to EVISE?,https://service.elsevier.com/app/answers/detail/a_id/8380/supporthub/publishing/
77,How can I change the Corresponding Author of my manuscript in EES?,https://service.elsevier.com/app/answers/detail/a_id/8080/supporthub/publishing/
78,How do I send an email in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/4343/supporthub/publishing/
79,How do I send reviewer invitations?,https://service.elsevier.com/app/answers/detail/a_id/5405/supporthub/publishing/
80,Will I get to check my proofs again?,https://service.elsevier.com/app/answers/detail/a_id/6009/supporthub/publishing/
81,How does the Article Transfer Service work for reviewers?,https://service.elsevier.com/app/answers/detail/a_id/13740/supporthub/publishing/
82,How do I find a submission I was invited to review in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/27770/supporthub/publishing/
83,How can I revise my submission in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/13551/supporthub/publishing/
84,How can I pay my gold open access fee?,https://service.elsevier.com/app/answers/detail/a_id/5998/supporthub/publishing/
85,Which user license should I choose?,https://service.elsevier.com/app/answers/detail/a_id/5975/supporthub/publishing/
86,How can I get permission to reproduce or re-use Elsevier content?,https://service.elsevier.com/app/answers/detail/a_id/12937/supporthub/publishing/
87,How do I find a submission I was invited to review in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28468/supporthub/publishing/
88,How can I submit my LaTeX manuscript to EES?,https://service.elsevier.com/app/answers/detail/a_id/5954/supporthub/publishing/
89,How will I receive the Editor’s decision in EES?,https://service.elsevier.com/app/answers/detail/a_id/6014/supporthub/publishing/
90,What should I do if my invoice is incorrect?,https://service.elsevier.com/app/answers/detail/a_id/6020/supporthub/publishing/
91,Editor Quick Guide to EVISE,https://service.elsevier.com/app/answers/detail/a_id/14202/supporthub/publishing/
92,How does the Article Transfer Service work for authors?,https://service.elsevier.com/app/answers/detail/a_id/6010/supporthub/publishing/
93,How can I change my Scopus author profile?,https://service.elsevier.com/app/answers/detail/a_id/6004/supporthub/publishing/
94,How can I claim my reviewer certificate?,https://service.elsevier.com/app/answers/detail/a_id/14284/supporthub/publishing/
95,How do I make changes after I have submitted an article?,https://service.elsevier.com/app/answers/detail/a_id/27777/supporthub/publishing/
96,Can I submit corrections from multiple authors?,https://service.elsevier.com/app/answers/detail/a_id/5976/supporthub/publishing/
97,How do I change my profile information in EES?,https://service.elsevier.com/app/answers/detail/a_id/5978/supporthub/publishing/
98,What is Elsevier's waiver policy for open access fees?,https://service.elsevier.com/app/answers/detail/a_id/5973/supporthub/publishing/
99,How do I make a decision in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28458/supporthub/publishing/
100,How do I add comments for a submission in EVISE where I am the Handling Editor?,https://service.elsevier.com/app/answers/detail/a_id/13973/supporthub/publishing/
101,Why should I integrate my submission system account with ORCID?,https://service.elsevier.com/app/answers/detail/a_id/8601/supporthub/publishing/
102,Where do I find the Impact Factor of a journal?,https://service.elsevier.com/app/answers/detail/a_id/5990/supporthub/publishing/
103,How do I submit a journal proposal?,https://service.elsevier.com/app/answers/detail/a_id/26733/supporthub/publishing/
104,Will I receive offprints of my published article or do I have to order these?,https://service.elsevier.com/app/answers/detail/a_id/6002/supporthub/publishing/
105,How do I correct my formulae?,https://service.elsevier.com/app/answers/detail/a_id/5970/supporthub/publishing/
106,How should I prepare the references in my manuscript?,https://service.elsevier.com/app/answers/detail/a_id/28224/supporthub/publishing/
107,Which open access options are available?,https://service.elsevier.com/app/answers/detail/a_id/5957/supporthub/publishing/
108,What are user roles in Editorial Manager and EES?,https://service.elsevier.com/app/answers/detail/a_id/29315/supporthub/publishing/
109,How do I include Highlights with my manuscript?,https://service.elsevier.com/app/answers/detail/a_id/10700/supporthub/publishing/
110,What should I do if I don't want to address the reviewers' comments?,https://service.elsevier.com/app/answers/detail/a_id/5985/supporthub/publishing/
111,EVISE e-learning,https://service.elsevier.com/app/answers/detail/a_id/4551/supporthub/publishing/
112,How do I link or unlink my ORCID to my profile?,https://service.elsevier.com/app/answers/detail/a_id/8602/supporthub/publishing/
113,"When will I receive my color charges, offprints or open access invoice?",https://service.elsevier.com/app/answers/detail/a_id/14864/supporthub/publishing/
114,How do I update my email address in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/14329/supporthub/publishing/
115,How can I change the Corresponding Author of my manuscript in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28462/supporthub/publishing/
116,Can you check if my manuscript is suitable for submission?,https://service.elsevier.com/app/answers/detail/a_id/5947/supporthub/publishing/
117,Proof Central Video Tutorials,https://service.elsevier.com/app/answers/detail/a_id/29000/supporthub/publishing/
118,How can I withdraw my manuscript in EES?,https://service.elsevier.com/app/answers/detail/a_id/6013/supporthub/publishing/
119,Is there a submission checklist I can use?,https://service.elsevier.com/app/answers/detail/a_id/10707/supporthub/publishing/
120,Where can I find the reviewers' comments in EES?,https://service.elsevier.com/app/answers/detail/a_id/5994/supporthub/publishing/
121,Article Tracking for Editors,https://service.elsevier.com/app/answers/detail/a_id/15615/supporthub/publishing/
122,How do I link my Elsevier account to my Editorial Manager account?,https://service.elsevier.com/app/answers/detail/a_id/28949/supporthub/publishing/
123,Which EVISE file types are available to reviewers?,https://service.elsevier.com/app/answers/detail/a_id/26092/supporthub/publishing/
124,Editorial Manager Video Guides,https://service.elsevier.com/app/answers/detail/a_id/29499/supporthub/publishing/
125,Why do I need to change my EVISE password?,https://service.elsevier.com/app/answers/detail/a_id/7644/supporthub/publishing/
126,"Editor Home page, Editorial Overview & Manuscript Overview in EVISE",https://service.elsevier.com/app/answers/detail/a_id/4451/supporthub/publishing/
127,How do I clear only my browser cache?,https://service.elsevier.com/app/answers/detail/a_id/26095/supporthub/publishing/
128,What can I do if I have Editorial Manager profiles registered to different email addresses?,https://service.elsevier.com/app/answers/detail/a_id/28523/supporthub/publishing/
129,What is the Article Transfer Service (ATS)?,https://service.elsevier.com/app/answers/detail/a_id/11977/supporthub/publishing/
130,How do I cancel my request to make my article Open Access?,https://service.elsevier.com/app/answers/detail/a_id/10665/supporthub/publishing/
131,Can I change the corresponding author during submission or revision in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/5431/supporthub/publishing/
132,How do I upload an archive file during submission in EVISE?,https://service.elsevier.com/app/answers/detail/a_id/5433/supporthub/publishing/
133,How do I send an email about my submission?,https://service.elsevier.com/app/answers/detail/a_id/28467/supporthub/publishing/
134,Tutorial text: How to edit tables in Proof Central,https://service.elsevier.com/app/answers/detail/a_id/29306/supporthub/publishing/
135,How can I withdraw my manuscript in Editorial Manager?,https://service.elsevier.com/app/answers/detail/a_id/28466/supporthub/publishing/
136,How do I become a reviewer for an Elsevier journal?,https://service.elsevier.com/app/answers/detail/a_id/13565/supporthub/publishing/
137,Can I contest the Editor's decision?,https://service.elsevier.com/app/answers/detail/a_id/5977/supporthub/publishing/
138,How do I make a decision in EES?,https://service.elsevier.com/app/answers/detail/a_id/8133/supporthub/publishing/
139,What can I do if there is an error in my article on PubMed?,https://service.elsevier.com/app/answers/detail/a_id/10396/supporthub/publishing/
140,What is the difference between PubMed and PubMed Central?,https://service.elsevier.com/app/answers/detail/a_id/10397/supporthub/publishing/
141,Where can I find the submission site for a journal?,https://service.elsevier.com/app/answers/detail/a_id/6911/supporthub/publishing/
142,Can I still make my article open access if my article is already published?,https://service.elsevier.com/app/answers/detail/a_id/5997/supporthub/publishing/
143,What are the requirements for double-blind peer review?,https://service.elsevier.com/app/answers/detail/a_id/28162/supporthub/publishing/
144,What is EES co-author registration?,https://service.elsevier.com/app/answers/detail/a_id/26014/supporthub/publishing/
