,link,title
0,https://service.elsevier.com/app/answers/detail/a_id/5992/supporthub/publishing/,When can I expect a decision from the Editor?
1,https://service.elsevier.com/app/answers/detail/a_id/12237/supporthub/publishing/,What does the status of my submission mean in EVISE?
2,https://service.elsevier.com/app/answers/detail/a_id/20720/supporthub/publishing/,How do I clear only specific cookies?
3,https://service.elsevier.com/app/answers/detail/a_id/13716/supporthub/publishing/,What can I do if I'm having trouble signing in to EVISE?
4,https://service.elsevier.com/app/answers/detail/a_id/22439/supporthub/publishing/,"Editor Quick Guides to Editorial Manager, EES and EVISE"
5,https://service.elsevier.com/app/answers/detail/a_id/28527/supporthub/publishing/,Editor Quick Guide to Editorial Manager
6,https://service.elsevier.com/app/answers/detail/a_id/5958/supporthub/publishing/,How can I submit my review in EES?
7,https://service.elsevier.com/app/answers/detail/a_id/4335/supporthub/publishing/,How do I submit a review and send my comments in EVISE?
8,https://service.elsevier.com/app/answers/detail/a_id/29789/supporthub/publishing/,Publishing Journey videos: How do I complete the Rights and Access form?
9,https://service.elsevier.com/app/answers/detail/a_id/7436/supporthub/publishing/,The Elsevier account
10,https://service.elsevier.com/app/answers/detail/a_id/286/supporthub/publishing/,"What are Conflict of Interest Statements, Funding Source Declarations, Author Agreements/Declarations and Permission Notes?"
11,https://service.elsevier.com/app/answers/detail/a_id/5971/supporthub/publishing/,What does the status of my submission mean in Editorial Manager or EES?
12,https://service.elsevier.com/app/answers/detail/a_id/28452/supporthub/publishing/,What can I do if I'm having trouble signing in to Editorial Manager?
13,https://service.elsevier.com/app/answers/detail/a_id/6007/supporthub/publishing/,When and how will I receive the proofs of my article?
14,https://service.elsevier.com/app/answers/detail/a_id/5959/supporthub/publishing/,How can I approve my submission?
15,https://service.elsevier.com/app/answers/detail/a_id/8000/supporthub/publishing/,How do I find and access my submission system?
16,https://service.elsevier.com/app/answers/detail/a_id/8238/supporthub/publishing/,How can I propose or oppose a reviewer in EES?
17,https://service.elsevier.com/app/answers/detail/a_id/6026/supporthub/publishing/,What should I do if my file upload fails?
18,https://service.elsevier.com/app/answers/detail/a_id/28947/supporthub/publishing/,How do I sign in to Editorial Manager?
19,https://service.elsevier.com/app/answers/detail/a_id/14504/supporthub/publishing/,Why am I being told my browser is out of date?
20,https://service.elsevier.com/app/answers/detail/a_id/13535/supporthub/publishing/,How can I track my accepted article?
21,https://service.elsevier.com/app/answers/detail/a_id/28460/supporthub/publishing/,What is Editorial Manager Co-Author verification?
22,https://service.elsevier.com/app/answers/detail/a_id/26714/supporthub/publishing/,What can I do if I'm having trouble signing in to EES?
23,https://service.elsevier.com/app/answers/detail/a_id/11519/supporthub/publishing/,How do I get 30 days free access to Scopus and ScienceDirect in EVISE as a reviewer?
24,https://service.elsevier.com/app/answers/detail/a_id/4340/supporthub/publishing/,How do I sign in to EVISE?
25,https://service.elsevier.com/app/answers/detail/a_id/14156/supporthub/publishing/,Are reviews confidential?
26,https://service.elsevier.com/app/answers/detail/a_id/6073/supporthub/publishing/,How do I consolidate multiple EES accounts?
27,https://service.elsevier.com/app/answers/detail/a_id/5960/supporthub/publishing/,How can I revise my submission in EES?
28,https://service.elsevier.com/app/answers/detail/a_id/12102/supporthub/publishing/,"What is the difference between an EES unconsolidated account, a consolidated profile and an Elsevier account?"
